id	station	city
87191114	Gare de Hagondange	Hagondange
87191130	Gare de Uckange	Uckange
87191163	Gare de Hettange-Grande	Hettange-Grande
87191239	Gare de Hayange	Hayange
87191304	Yutz	Yutz
87191346	Kédange	Kedange-Sur-Canner
87191387	Anzeling	Anzeling
87191395	Freistroff	Freistroff
87191601	Gare de Basse-Ham	Basse-Ham
87191619	Gare de Koenigsmacker	KNigsmacker
87191627	Gare de Malling	Malling
87191635	Gare de Sierck-les-Bains	Sierck-Les-Bains
87191643	Gare de Apach (Moselle)	Apach
87191684	Gare de Auboué	Auboue
87191692	Gare de Homécourt	Homecourt
87191700	Gare de Joeuf	JUf
87191718	Gare de Moyeuvre-Grande	Moyeuvre-Grande
87191734	Gare de Rombas-Clouange	Rombas
87191742	Gare de Gandrange-Amnéville	Amneville
87192039	Gare de Metz-Ville	Metz
87192070	Gare de Metz-Nord	Metz
87192088	Gare de Woippy	Woippy
87192203	Gare de Peltre	Peltre
87192211	Gare de Courcelles-sur-Nied	Courcelles-Sur-Nied
87192229	Gare de Sanry-sur-Nied	Sanry-Sur-Nied
87192237	Gare de Rémilly	Remilly
87192286	Gare de Morhange	Morhange
87192302	Gare de Bénestroff	Benestroff
87192401	Gare de Ars-sur-Moselle	Ars-Sur-Moselle
87192419	Gare de Ancy-sur-Moselle	Ancy-Dornot
87192427	Gare de Novéant	Noveant-Sur-Moselle
87192435	Gare de Onville	Onville
87192468	Gare de Pagny-sur-Moselle	Pagny-Sur-Moselle
87192476	Gare de Vandières	Vandieres
87192658	Gare de Baroncourt	Dommary-Baroncourt
87192666	Gare de Conflans-Jarny	Jarny
87192724	Gare de Hatrize	Hatrize
87192732	Gare de Valleroy-Moineville	Valleroy
87193003	Gare de Forbach	Forbach
87193177	Bouzonville	Bouzonville
87193250	Gare de Bening	Bening-Les-Saint-Avold
87193276	Gare de Hombourg-Haut	Hombourg-Haut
87193318	Gare de St-Avold	Valmont
87193342	Gare de Téting (Moselle)	Teting-Sur-Nied
87193359	Gare de Faulquemont	Faulquemont
87193383	Gare de Herny	Herny
87193516	Gare de Farebersviller	Farebersviller
87193524	Gare de Farschviller	Farschviller
87193540	Gare de Hundling	Hundling
87193615	Gare de Sarreguemines	Sarreguemines
87193664	Gare de Kalhausen	Kalhausen
87193714	Sarralbe	Sarralbe
87193839	Bitche-Camp	Bitche
87194001	Gare de Longwy	Longwy
87194209	Gare de Montmédy	Montmedy
87194274	Gare de Longuyon	Longuyon
87194357	Gare de Audun-le-Roman	Audun-Le-Roman
87194449	Rehon	Rehon
87208553	Gare de Casino-Lacroix-Laval	La Tour-De-Salvagny
87212027	Gare de Strasbourg	Strasbourg
87212100	Gare de Mundolsheim	Mundolsheim
87212118	Gare de Vendenheim	Vendenheim
87212126	Gare de Stephansfeld	Brumath
87212134	Gare de Brumath	Brumath
87212142	Gare de Mommenheim	Mommenheim
87212159	Gare de Schwindratzheim	Schwindratzheim
87212167	Gare de Hochfelden	Hochfelden
87212175	Gare de Wilwisheim	Wilwisheim
87212183	Gare de Dettwiller	Dettwiller
87212191	Gare de Strasbourg-Roethig	Lingolsheim
87212209	Gare de Steinbourg	Steinbourg
87212225	Gare de Saverne	Saverne
87212241	Gare de Graffenstaden	Geispolsheim
87212258	Gare de Geispolsheim	Geispolsheim
87212266	Gare de Fegersheim-Lipsheim	Lipsheim
87212274	Gare de Limersheim	Hipsheim
87212308	Gare de Bischheim	Schiltigheim
87212316	Gare de La Wantzenau	La Wantzenau
87212324	Gare de Kilstett	Kilstett
87212332	Gare de Gambsheim	Gambsheim
87212340	Gare de Herrlisheim (Bas-Rhin)	Herrlisheim
87212357	Gare de Drusenheim	Drusenheim
87212365	Gare de Sessenheim	Sessenheim
87212373	Gare de Rountzenheim	Rountzenheim-Auenheim
87212407	Gare de Roeschwoog	RSchwoog
87212415	Gare de Beinheim-Roppenheim	Beinheim
87212431	Gare de Seltz	Seltz
87212449	Gare de Munchhausen	Munchhausen
87212456	Gare de Mothern	Mothern
87212464	Gare de Lauterbourg	Lauterbourg
87213058	Gare de Haguenau	Schweighouse-Sur-Moder
