episode,reward
10,-122.05980835915794
20,-118.18151488072614
30,-123.48061028520391
40,-120.27927504934743
50,-124.1218684528532
60,-117.76877940201945
70,-118.38237837142374
80,-122.632888220774
90,-121.89490160438108
100,-121.67537455565669
110,-119.1865772452535
120,-120.91810775294272
130,-119.07782808428884
140,-119.30112040553118
150,-117.66324467422442
160,-123.03887002096201
170,-117.54047854572038
180,-118.48779681660173
190,-124.48256982636575
200,-115.82018801918812
210,-116.02145843055845
220,-121.5070377018954
230,-122.41316831363861
240,-117.65841287047786
250,-125.747949139833466
260,-122.609014087691314
270,-125.69529909519607
280,-120.21442890692067
290,-122.27816045902856
300,-120.11985920039503
310,-125.73450990253806
320,-121.9948265633999
330,-123.76907042707876
340,-121.74729588780615
350,-125.07634728433317
360,-122.1344132643044
370,-124.62685006005936
380,-123.73732706056163
390,-121.20869705774882
400,-117.48251236797994
410,-116.78537349837522
420,-125.28671245029072
430,-126.3188250593754
440,-115.81196808697842
450,-123.89186915895095
460,-125.7705916080512
470,-119.97494227548067
480,-123.39732771873226
490,-121.45638208513023
500,-120.67400327485178
510,-122.836014306938274
520,-121.98685704461546
530,-121.16321614901534
540,-122.51165840599376
550,-122.92586770776225
560,-125.78542391407427
570,-122.20550881283667
580,-117.12687908178815
590,-119.63888824631334
600,-115.33254355976048
610,-123.19892963587556
620,-123.68689789126627
630,-123.01854567128234
640,-120.24396645969463
650,-122.44235091214628
660,-121.82447376848259
670,-118.16254658774038
680,-118.6827415630004
690,-116.08682269503915
700,-123.565891358496
710,-125.20331236502403
720,-120.65788687448638
730,-122.89808514788496
740,-119.72346129002545
750,-119.86348219869232
760,-125.71461624130357
770,-121.26701435905002
780,-121.41722089271806
790,-122.05576163365754
800,-120.92245851577383
810,-116.72959561068193
820,-117.13201955904253
830,-119.5338545235265
840,-123.7080534000987
850,-123.0626433364898
860,-120.17586136406784
870,-117.59407898161254
880,-118.87354137817024
890,-119.51622996003428
900,-121.4400011638365
910,-120.35364234527697
920,-119.97470361365812
930,-124.19038720722682
940,-123.51852669561165
950,-124.0763804201465
960,-123.06765358692909
970,-117.30920556592321
980,-124.48764108120464
990,-120.52218633377612
1000,-119.54650195836523
1010,-114.6267970202497
1020,-107.38972203157346
1030,-100.18508678121552
1040,-91.21325833015331
1050,-86.74353918100023
1060,-83.82016650612216
1070,-78.223264505798
1080,-75.87325593107883
1090,-71.20649610588077
1100,-69.48658453692804
1110,-59.49066858871963
1120,-53.05071602682335
1130,-52.18989424994216
1140,-46.45438108217652
1150,-43.23728912713129
1160,-42.51128909027572
1170,-37.17256217971071
1180,-31.19636449719713
1190,-27.24304147937522
1200,-18.22185794253895
1210,-11.49277506846127
1220,-9.10021217210901
1230,-5.42720625905879
1240,-1.53051477397668
1250,4.43280563561432
1260,7.8463526976866
1270,10.2389829196818
1280,14.29578320081656
1290,17.35912714845003
1300,20.1392592456651
1310,23.03123774267236
1320,25.28419363568413
1330,26.38433696974937
1340,29.14475960384496
1350,32.33239637455385
1360,35.78575116901473
1370,36.53652335355305
1380,41.59561616729573
1390,44.63407926321153
1400,47.71383688809038
1410,50.75960182294745
1420,52.89046926394043
1430,55.06106124178874
1440,58.71857528595007
1450,59.68749816705783
1460,61.75117854312249
1470,66.44453625247938
1480,67.27514143019975
1490,70.83810786955857
1500,72.84758713182879
1510,75.74271136568984
1520,77.53651794478174
1530,78.66643430382817
1540,81.56829860235126
1550,84.78904023928628
1560,85.00919460863186
1570,87.76706903366184
1580,89.76621487210815
1590,90.47103640843295
1600,91.74866615209791
1610,92.32950107249798
1620,93.48900833041037
1630,94.714820512278
1640,95.57463597831634
1650,96.91127615370229
1660,97.27198493769454
1670,97.91194482282857
1680,98.59410485240507
1690,98.19945294365411
1700,98.32929483359244
1710,99.39480829074047
1720,99.21019144373138
1730,99.27832013385495
1740,99.35287876460143
1750,99.743132200582174
1760,99.47273682590202
1770,99.40182409589117
1780,99.15287468076063
1790,99.09606348339467
1800,99.45161939839583
1810,99.7871197292066
1820,99.87004381158202
1830,99.49787396424443
1840,99.4049718834012
1850,99.09420284242059
1860,99.38951963448463
1870,99.92777174850801
1880,99.34825059743224
1890,99.27209010226775
1900,99.89175987949844
1910,99.45990456490466
1920,99.01252302997621
1930,99.38063144073573
1940,99.59898888743172
1950,99.68793899506827
1960,99.06357994965713
1970,99.43617249527635
1980,99.82344992657502
1990,99.22178176856661
2000,99.39421628391557
2010,104.4126424275407
2020,108.7424713159185
2030,112.01410732046575
2040,116.51795084433506
2050,121.34195775660996
2060,125.77139334692993
2070,130.17668171718717
2080,132.96419382052868
2090,135.6184010226913
2100,140.40798141982033
2110,143.43800780809237
2120,146.6583080504189
2130,150.03778638760124
2140,153.74055517597122
2150,155.40928744376637
2160,158.14409387622649
2170,160.24931177566822
2180,163.11258092570306
2190,165.48874892737282
2200,168.85941359766386
2210,170.21785617335948
2220,173.21096150945189
2230,176.10571837964653
2240,178.31818513595124
2250,179.92640003941837
2260,183.37335706444458
2270,185.49622106251243
2280,187.45574414251186
2290,188.43585125631591
2300,190.97499213027085
2310,193.10394731414256
2320,195.55531033329913
2330,196.62879842239929
2340,198.62677922377176
2350,199.54248207396951
2360,201.26137925673524
2370,202.95524868352464
2380,204.46078939027277
2390,206.87378131834976
2400,208.66090963792863
